,pollPlaceName,googlePlaceID,dates,county,idTown,lat,lng,address,url
13,ELAINE H LUCAS SENIOR CENTER,ChIJy5NdgnP-84gROpHZZJZPItU,"['10/12/2020 - 10/30/2020 09:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Bibb County,011,32.8324056,-83.6163048,"132 WILLIE SMOKIE GLOVER DR, MACON, GA 31201","https://www.google.com/maps/search/132+WILLIE+SMOKIE+GLOVER+DR+MACON,+GA,+31201"
14,MACON BIBB COUNTY BOARD OF ELECTIONS,ChIJ04feGhL884gRm-soH16sE6s,"['10/12/2020 - 10/30/2020 08:30 AM - 05:30 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Bibb County,011,32.8114278,-83.66592709999999,"2525 PIO NONO AVE, MACON, GA 31206 - 2829","https://www.google.com/maps/search/2525+PIO+NONO+AVE+MACON,+GA,+31206+-+2829"
15,THERON USSERY PARK COMMUNITY/ RECREATION CENTER,ChIJbX2Gyc3484gRAOgh63AzXQc,"['10/12/2020 - 10/30/2020 09:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Bibb County,011,32.887808,-83.68212799999999,"815 N MACON PARK DR, MACON, GA 31210","https://www.google.com/maps/search/815+N+MACON+PARK+DR+MACON,+GA,+31210"
16,VR OFFICE,ChIJe5eIRW9u8YgRKOgYFq9VGYs,"['10/13/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 05:00 PM']",Bleckley County,012,32.3875693,-83.355355,"112 N SECOND STREET, COCRHRAN, GA 31014","https://www.google.com/maps/search/112+N+SECOND+STREET+COCRHRAN,+GA,+31014"
17,BRANTLEY CO. ELECTIONS,EicxMDMwNSBOIE1haW4gU3QsIE5haHVudGEsIEdBIDMxNTUzLCBVU0EiGxIZChQKEgnV-KTZaE_liBERXMwEzpBusxDBUA,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Brantley County,013,31.2094192,-81.97996130000001,"10305 N. MAIN ST, NAHUNTA, GA 31553","https://www.google.com/maps/search/10305+N.+MAIN+ST.+NAHUNTA,+GA,+31553"
18,AIP/EV MAIN ELECTIONS OFFICE,ChIJ_Vde9qp_7ogRogDm7RcfoFE,"['10/12/2020 - 10/30/2020 08:00 AM - 05:00 PM', '10/13/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 05:00 PM', '10/26/2020 - 10/29/2020 08:00 AM - 05:00 PM']",Brooks County,014,30.7798113,-83.55219559999999,"610 S HIGHLAND RD, QUITMAN, GA 31643","https://www.google.com/maps/search/610+S+HIGHLAND+RD+QUITMAN,+GA,+31643"
19,BRYAN COUNTY COMMISSIONERS MEETING ROOM,ChIJZzhWwI1W-ogRg6ESBcYQP68,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Bryan County,015,32.1335816,-81.62117599999999,"42 N. COURTHOUSE ST, PEMBROKE, GA 31321","https://www.google.com/maps/search/42+N.+COURTHOUSE+ST+PEMBROKE,+GA,+31321"
20,RICHMOND HILL RECREATION COMPX,ChIJVdhIJwYP-4gRR43ePITpAHA,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Bryan County,015,31.9259853,-81.3068637,"508 TIMBER TRAIL, RICHMOND HILL, GA 31324","https://www.google.com/maps/search/508+TIMBER+TRAIL+RICHMOND+HILL,+GA,+31324"
21,BULLOCH COUNTY ANNEX,ChIJ8UCx2lU_-ogRAGCiyfK-xCI,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Bulloch County,016,32.4519474,-81.7835295,"113 NORTH MAIN ST, STATESBORO, GA 30458","https://www.google.com/maps/search/113+NORTH+MAIN+ST+STATESBORO,+GA,+30458"
22,GSU,ChIJgx_T3cpA-ogRha35w_YZ2fA,['10/20/2020 - 10/22/2020 08:00 AM - 05:00 PM'],Bulloch County,016,32.4249052,-81.7796652,"85 GEORGIA AVENUE, STATESBORO, GA 30458","https://www.google.com/maps/search/85+GEORGIA+AVENUE+STATESBORO,+GA,+30458"
23,HONEY BOWEN BLDG,ChIJ7ynPFrJA-ogRsaBtSmOQ2cE,"['10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM']",Bulloch County,016,32.4375221,-81.7832732,"1 MAX LOCKWOOD DR, STATESBORO, GA 30458","https://www.google.com/maps/search/1+MAX+LOCKWOOD+DR+STATESBORO,+GA,+30458"
